Date - Heure;Consommation (MW);Prévision J-1 (MW);Prévision J (MW);Fioul (MW);Charbon (MW);Gaz (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Taux de CO2 (g/kWh);Fioul - TAC (MW);Fioul - Cogénération (MW);Fioul - Autres (MW);Gaz - TAC (MW);Gaz - Cogénération (MW);Gaz - CCG (MW);Gaz - Autres (MW);Hydraulique - Fil de l'eau + éclusée (MW);Hydraulique - Lacs (MW);Hydraulique - STEP turbinage (MW);Bioénergies - Déchets (MW);Bioénergies - Biomasse (MW);Bioénergies - Biogaz (MW)
2022-06-02 00:00:00;268.0;-100.0;-1400.0;0.0;294.0;79.0;-317.0;2440.0;0.0;-382.0;8.0;-54.0;-1802.0;4.0;0.0;0.0;0.0;0.0;34.0;45.0;0.0;-230.0;738.0;-890.0;-14.0;-33.0;-10.0
2022-06-02 00:15:00;-123.0;-150.0;-750.0;0.0;323.0;-165.0;-89.0;2390.0;0.0;508.0;8.0;-20.0;-3081.0;2.0;0.0;0.0;0.0;0.0;28.0;-192.0;0.0;-151.0;627.0;32.0;-16.0;-9.0;0.0
2022-06-02 00:30:00;-94.0;-200.0;-100.0;1.0;308.0;574.0;360.0;2383.0;0.0;-451.0;8.0;-21.0;-3256.0;9.0;1.0;0.0;0.0;0.0;29.0;546.0;0.0;-321.0;90.0;-220.0;-9.0;-12.0;0.0
2022-06-02 00:45:00;61.0;-200.0;-50.0;1.0;311.0;46.0;909.0;2382.0;0.0;-214.0;318.0;-23.0;-3669.0;3.0;1.0;0.0;0.0;0.0;37.0;9.0;0.0;-116.0;108.0;-206.0;-9.0;-13.0;0.0
2022-06-02 01:00:00;-3.0;-200.0;0.0;0.0;326.0;-182.0;1319.0;2330.0;0.0;-126.0;-208.0;-19.0;-3443.0;2.0;0.0;0.0;0.0;0.0;37.0;-218.0;0.0;-55.0;102.0;-173.0;-8.0;-12.0;0.0
2022-06-02 01:15:00;452.0;50.0;650.0;1.0;356.0;-191.0;1417.0;2394.0;0.0;-52.0;-530.0;-12.0;-2931.0;2.0;1.0;0.0;0.0;0.0;30.0;-221.0;0.0;-32.0;147.0;-167.0;-11.0;-10.0;0.0
2022-06-02 01:30:00;250.0;300.0;1300.0;0.0;333.0;-586.0;1191.0;2413.0;0.0;-169.0;-530.0;-25.0;-2377.0;-2.0;0.0;0.0;0.0;0.0;31.0;-616.0;0.0;-58.0;84.0;-195.0;-16.0;-10.0;0.0
2022-06-02 01:45:00;715.0;150.0;950.0;0.0;335.0;-766.0;1100.0;2299.0;0.0;41.0;-588.0;-29.0;-1677.0;-3.0;0.0;0.0;0.0;0.0;33.0;-798.0;0.0;-167.0;488.0;-280.0;-18.0;-12.0;0.0
2022-06-02 02:00:00;512.0;0.0;600.0;0.0;332.0;-751.0;1082.0;2330.0;0.0;161.0;-595.0;-26.0;-2021.0;-3.0;0.0;0.0;0.0;0.0;32.0;-783.0;0.0;-162.0;408.0;-85.0;-15.0;-12.0;0.0
2022-06-02 02:15:00;249.0;50.0;300.0;1.0;349.0;-773.0;1132.0;2302.0;0.0;-61.0;-551.0;-33.0;-2117.0;-2.0;1.0;0.0;0.0;0.0;38.0;-811.0;0.0;-181.0;33.0;87.0;-12.0;-13.0;0.0
