Date - Heure;Date;Heure;Consommation (MW);Prévision J-1 (MW);Prévision J (MW);Fioul (MW);Charbon (MW);Gaz (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Taux de CO2 (g/kWh);Fioul - TAC (MW);Fioul - Cogénération (MW);Fioul - Autres (MW);Gaz - TAC (MW);Gaz - Cogénération (MW);Gaz - CCG (MW);Gaz - Autres (MW);Hydraulique - Fil de l'eau + éclusée (MW);Hydraulique - Lacs (MW);Hydraulique - STEP turbinage (MW);Bioénergies - Déchets (MW);Bioénergies - Biomasse (MW);Bioénergies - Biogaz (MW)
2022-06-01T01:00:00+02:00;2022-06-01;01:00;40359.0;40300.0;40500.0;144.0;3.0;2718.0;29019.0;1899.0;0.0;5542.0;-386.0;1010.0;410.0;44.0;2.0;29.0;113.0;0.0;423.0;2296.0;0.0;4068.0;1101.0;373.0;170.0;563.0;276.0
2022-06-01T01:30:00+02:00;2022-06-01;01:30;40049.0;40500.0;40200.0;144.0;5.0;2980.0;29175.0;1872.0;0.0;5627.0;-386.0;1013.0;-381.0;47.0;2.0;29.0;113.0;0.0;418.0;2563.0;0.0;4033.0;1176.0;418.0;176.0;562.0;276.0
2022-06-01T01:45:00+02:00;2022-06-01;01:45;39832.0;40350.0;40150.0;143.0;5.0;2986.0;29163.0;1911.0;0.0;5242.0;-213.0;1010.0;-415.0;47.0;1.0;29.0;113.0;0.0;417.0;2570.0;0.0;4018.0;814.0;410.0;178.0;562.0;276.0
2022-06-01T02:45:00+02:00;2022-06-01;02:45;38233.0;38050.0;38500.0;144.0;6.0;3254.0;29287.0;1925.0;0.0;5049.0;-590.0;1010.0;-1852.0;50.0;2.0;29.0;113.0;0.0;421.0;2835.0;0.0;3746.0;1055.0;248.0;177.0;562.0;276.0
2022-06-01T03:15:00+02:00;2022-06-01;03:15;37419.0;37050.0;37500.0;143.0;6.0;3305.0;28817.0;1897.0;0.0;4892.0;-908.0;1005.0;-1738.0;52.0;1.0;29.0;113.0;0.0;419.0;2887.0;0.0;3812.0;856.0;224.0;174.0;559.0;276.0
2022-06-01T04:00:00+02:00;2022-06-01;04:00;36257.0;36200.0;36400.0;144.0;6.0;3383.0;29235.0;1782.0;0.0;4560.0;-1459.0;1009.0;-2403.0;53.0;2.0;29.0;113.0;0.0;419.0;2965.0;0.0;3785.0;557.0;218.0;171.0;562.0;276.0
2022-06-01T04:15:00+02:00;2022-06-01;04:15;36414.0;36150.0;36400.0;143.0;6.0;3599.0;29374.0;1707.0;0.0;4652.0;-1631.0;999.0;-2435.0;55.0;1.0;29.0;113.0;0.0;422.0;3179.0;0.0;3820.0;579.0;253.0;168.0;560.0;276.0
2022-06-01T06:15:00+02:00;2022-06-01;06:15;40248.0;39750.0;39750.0;144.0;8.0;3658.0;30656.0;1346.0;254.0;5423.0;-882.0;1006.0;-1365.0;53.0;2.0;29.0;113.0;0.0;420.0;3239.0;0.0;4035.0;1023.0;365.0;163.0;565.0;276.0
2022-06-01T07:00:00+02:00;2022-06-01;07:00;43203.0;43600.0;43200.0;144.0;9.0;4193.0;30686.0;1409.0;533.0;6621.0;-524.0;1006.0;-874.0;55.0;2.0;29.0;113.0;0.0;426.0;3768.0;0.0;4221.0;1384.0;1016.0;166.0;566.0;276.0
2022-06-01T08:00:00+02:00;2022-06-01;08:00;46446.0;47500.0;46500.0;142.0;11.0;4042.0;30586.0;1249.0;1646.0;7173.0;-41.0;1013.0;625.0;51.0;0.0;29.0;113.0;0.0;420.0;3623.0;0.0;4623.0;1341.0;1209.0;166.0;568.0;276.0
