Périmètre;Nature;Date;Heure;Date - Heure;Consommation (MW);Prévision J-1 (MW);Prévision J (MW);Fioul (MW);Charbon (MW);Gaz (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Taux de CO2 (g/kWh);Ech. comm. Angleterre (MW);Ech. comm. Espagne (MW);Ech. comm. Italie (MW);Ech. comm. Suisse (MW);Ech. comm. Allemagne-Belgique (MW);Fioul - TAC (MW);Fioul - Cogénération (MW);Fioul - Autres (MW);Gaz - TAC (MW);Gaz - Cogénération (MW);Gaz - CCG (MW);Gaz - Autres (MW);Hydraulique - Fil de l'eau + éclusée (MW);Hydraulique - Lacs (MW);Hydraulique - STEP turbinage (MW);Bioénergies - Déchets (MW);Bioénergies - Biomasse (MW);Bioénergies - Biogaz (MW);Stockage batterie (MW);Déstockage batterie (MW);Eolien terrestre (MW);Eolien offshore (MW)
France;Données temps réel;2022-11-14;20:30;2022-11-14T20:30:00+01:00;52963;54800;53400;189;193;6985;30423;5829;0;7707;-12;661;988;70;2351;1500;-2705;-3463;4262;1;10;178;0;1828;5158;0;3894;999;2814;129;278;257;ND;ND;ND;ND
France;Données temps réel;2022-11-14;21:00;2022-11-14T21:00:00+01:00;51098;52700;51300;190;287;6652;30379;5943;0;6153;-12;662;844;72;2326;1500;-3100;-3700;4114;2;10;178;0;1829;4824;0;3711;677;1765;130;277;257;ND;ND;ND;ND
France;Données temps réel;2022-11-14;23:15;2022-11-14T23:15:00+01:00;49459;51750;50650;190;309;5565;30540;5991;0;3666;-468;668;2998;68;;;;;;2;10;178;0;1746;3821;0;3071;281;314;136;276;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;00:45;2022-11-15T00:45:00+01:00;44692;46550;45550;188;308;3562;29899;6534;0;2934;-1323;671;1919;54;;;;;;0;10;178;0;1722;1842;0;2625;221;88;138;279;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;03:15;2022-11-15T03:15:00+01:00;42760;43250;42800;188;306;3900;29668;6331;0;2905;-3007;671;1798;60;;;;;;0;10;178;0;1735;2166;0;2719;183;3;134;278;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;04:30;2022-11-15T04:30:00+01:00;41357;42000;41400;188;304;3639;29170;7084;0;2965;-3334;661;680;57;3028;2300;-2978;-3700;2305;0;10;178;0;1731;1909;0;2723;239;3;133;275;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;05:15;2022-11-15T05:15:00+01:00;42672;43450;42900;189;304;3812;29250;7563;0;3143;-3047;663;795;57;;;;;;1;10;178;0;1732;2082;0;2827;313;3;133;271;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;06:45;2022-11-15T06:45:00+01:00;49922;50450;50000;190;363;5155;29860;8411;0;5010;-6;666;273;61;;;;;;2;10;178;0;1769;3388;0;3143;796;1071;132;274;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;08:45;2022-11-15T08:45:00+01:00;54846;55000;54900;190;356;7127;30043;9706;489;7263;0;661;-989;70;;;;;;2;10;178;0;1762;5367;0;3826;1014;2423;130;275;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;09:30;2022-11-15T09:30:00+01:00;55406;55500;55400;189;360;6932;30065;9722;1036;7876;0;644;-1418;67;2595;1942;-2821;-3700;611;1;10;178;0;1759;5175;0;3752;1084;3040;116;274;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;10:00;2022-11-15T10:00:00+01:00;55310;55700;55300;190;360;6844;30167;9562;1499;6508;0;663;-483;68;2317;1950;-2821;-3700;1578;2;10;178;0;1760;5085;0;3772;967;1769;120;278;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;11:00;2022-11-15T11:00:00+01:00;56150;55900;56100;190;360;6591;30171;9612;2153;6403;0;756;-86;66;2180;2250;-2821;-3700;2168;2;10;178;0;1749;4844;0;3421;1850;1082;129;275;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;12:30;2022-11-15T12:30:00+01:00;56387;55200;56400;190;358;6178;30143;9921;2378;6638;-500;643;438;62;3028;2250;-2821;-3700;1786;2;10;178;0;1733;4446;0;3445;1738;1455;106;282;257;ND;ND;ND;ND
France;Données temps réel;2022-11-15;13:00;2022-11-15T13:00:00+01:00;55415;54700;55200;190;358;6095;30183;9894;2465;5640;-495;639;446;62;2764;2250;-2673;-3548;1868;2;10;178;0;1728;4369;0;3336;1001;1303;105;276;257;ND;ND;ND;ND
